key;caida_de_hojas_date;brotacion_en_camara_50_date;dias_acumulando_frio;zona;variedad;ue_str;tratamiento;ue_int
Melipilla-Santina-003-Control;08-05-2024;12-07-2024;65;melipilla;santina;003;control;3
Melipilla-Santina-008-Control;15-05-2024;09-07-2024;55;melipilla;santina;008;control;8
Melipilla-Santina-016-Control;15-05-2024;12-07-2024;58;melipilla;santina;016;control;16
Melipilla-Santina-023-Control;15-05-2024;11-07-2024;57;melipilla;santina;023;control;23
Melipilla-Santina-027-Control;15-05-2024;12-07-2024;58;melipilla;santina;027;control;27
Pichidegua-Santina-003-Control;15-05-2024;10-07-2024;55;pichidegua;santina;003;control;3
Pichidegua-Santina-008-Control;13-05-2024;03-07-2024;50;pichidegua;santina;008;control;8
Pichidegua-Santina-016-Control;14-05-2024;07-07-2024;53;pichidegua;santina;016;control;16
Pichidegua-Santina-023-Control;15-05-2024;11-07-2024;57;pichidegua;santina;023;control;23
Pichidegua-Santina-027-Control;13-05-2024;12-07-2024;59;pichidegua;santina;027;control;27
Sarmiento-Kordia-003-Control;18-05-2024;09-07-2024;52;sarmiento;kordia;003;control;3
Sarmiento-Kordia-008-Control;18-05-2024;12-07-2024;55;sarmiento;kordia;008;control;8
Sarmiento-Kordia-016-Control;16-05-2024;11-07-2024;56;sarmiento;kordia;016;control;16
Sarmiento-Kordia-023-Control;18-05-2024;01-07-2024;44;sarmiento;kordia;023;control;23
Sarmiento-Kordia-027-Control;18-05-2024;05-07-2024;48;sarmiento;kordia;027;control;27
Sta Magdalena (Los Niches 2)-Regina-003-Control;10-05-2024;02-08-2024;83;sta magdalena (los niches 2);regina;003;control;3
Sta Magdalena (Los Niches 2)-Regina-008-Control;10-05-2024;02-08-2024;83;sta magdalena (los niches 2);regina;008;control;8
Sta Magdalena (Los Niches 2)-Regina-016-Control;12-05-2024;31-07-2024;80;sta magdalena (los niches 2);regina;016;control;16
Sta Magdalena (Los Niches 2)-Regina-023-Control;12-05-2024;31-07-2024;79;sta magdalena (los niches 2);regina;023;control;23
Sta Magdalena (Los Niches 2)-Regina-027-Control;12-05-2024;26-07-2024;75;sta magdalena (los niches 2);regina;027;control;27
Teno Montaña-Kordia-003-Control;12-05-2024;14-07-2024;63;teno montaña;kordia;003;control;3
Teno Montaña-Kordia-008-Control;12-05-2024;09-07-2024;57;teno montaña;kordia;008;control;8
Teno Montaña-Kordia-016-Control;12-05-2024;13-07-2024;61;teno montaña;kordia;016;control;16
Teno Montaña-Kordia-023-Control;12-05-2024;11-07-2024;60;teno montaña;kordia;023;control;23
Teno Montaña-Kordia-027-Control;10-05-2024;12-07-2024;62;teno montaña;kordia;027;control;27
Teno Montaña-Regina-003-Control;18-05-2024;04-07-2024;46;teno montaña;regina;003;control;3
Teno Montaña-Regina-008-Control;14-05-2024;07-07-2024;53;teno montaña;regina;008;control;8
Teno Montaña-Regina-016-Control;12-05-2024;08-07-2024;57;teno montaña;regina;016;control;16
Teno Montaña-Regina-023-Control;15-05-2024;09-07-2024;54;teno montaña;regina;023;control;23
Teno Montaña-Regina-027-Control;15-05-2024;09-07-2024;55;teno montaña;regina;027;control;27
Teno Oriente-Kordia-003-Control;11-05-2024;03-07-2024;53;teno oriente;kordia;003;control;3
Teno Oriente-Kordia-008-Control;14-05-2024;04-07-2024;50;teno oriente;kordia;008;control;8
Teno Oriente-Kordia-016-Control;17-05-2024;08-07-2024;51;teno oriente;kordia;016;control;16
Teno Oriente-Kordia-023-Control;14-05-2024;01-07-2024;47;teno oriente;kordia;023;control;23
Teno Oriente-Kordia-027-Control;12-05-2024;30-06-2024;49;teno oriente;kordia;027;control;27
Teno Poniente-Regina-003-Control;14-05-2024;14-07-2024;61;teno poniente;regina;003;control;3
Teno Poniente-Regina-008-Control;07-05-2024;12-07-2024;66;teno poniente;regina;008;control;8
Teno Poniente-Regina-016-Control;08-05-2024;13-07-2024;65;teno poniente;regina;016;control;16
Teno Poniente-Regina-023-Control;08-05-2024;13-07-2024;65;teno poniente;regina;023;control;23
Teno Poniente-Regina-027-Control;07-05-2024;13-07-2024;67;teno poniente;regina;027;control;27
Teno Poniente-Santina-003-Control;10-05-2024;14-07-2024;65;teno poniente;santina;003;control;3
Teno Poniente-Santina-008-Control;06-05-2024;13-07-2024;67;teno poniente;santina;008;control;8
Teno Poniente-Santina-016-Control;09-05-2024;02-07-2024;53;teno poniente;santina;016;control;16
Teno Poniente-Santina-023-Control;09-05-2024;11-07-2024;62;teno poniente;santina;023;control;23
Teno Poniente-Santina-027-Control;04-05-2024;09-07-2024;66;teno poniente;santina;027;control;27
Viluco-Santina-003-Control;16-05-2024;16-07-2024;60;viluco;santina;003;control;3
Viluco-Santina-008-Control;10-05-2024;15-07-2024;65;viluco;santina;008;control;8
Viluco-Santina-016-Control;15-05-2024;16-07-2024;61;viluco;santina;016;control;16
Viluco-Santina-023-Control;17-05-2024;13-07-2024;57;viluco;santina;023;control;23
Viluco-Santina-027-Control;09-05-2024;16-07-2024;67;viluco;santina;027;control;27
Wapri (Los Niches 1)-Kordia-003-Control;05-05-2024;07-07-2024;63;wapri (los niches 1);kordia;003;control;3
Wapri (Los Niches 1)-Kordia-008-Control;09-05-2024;07-07-2024;59;wapri (los niches 1);kordia;008;control;8
Wapri (Los Niches 1)-Kordia-016-Control;02-05-2024;11-07-2024;69;wapri (los niches 1);kordia;016;control;16
Wapri (Los Niches 1)-Kordia-023-Control;14-05-2024;13-07-2024;59;wapri (los niches 1);kordia;023;control;23
Wapri (Los Niches 1)-Kordia-027-Control;15-05-2024;09-07-2024;55;wapri (los niches 1);kordia;027;control;27
Wapri (Los Niches 1)-Regina-003-Control;13-05-2024;19-07-2024;67;wapri (los niches 1);regina;003;control;3
Wapri (Los Niches 1)-Regina-008-Control;12-05-2024;20-07-2024;69;wapri (los niches 1);regina;008;control;8
Wapri (Los Niches 1)-Regina-016-Control;11-05-2024;21-07-2024;70;wapri (los niches 1);regina;016;control;16
Wapri (Los Niches 1)-Regina-023-Control;12-05-2024;21-07-2024;69;wapri (los niches 1);regina;023;control;23
Wapri (Los Niches 1)-Regina-027-Control;12-05-2024;20-07-2024;68;wapri (los niches 1);regina;027;control;27
